"id","homicide","terrorist_attack","threats","Enforced_disappearance","torture","sexual_violence","recruitment","detention","kidnapping","pillage","extortion","attack_against_civilians_population","dispossession_land","forced_displacement","armed_group"
1061,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
1062,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
1063,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
1064,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Other armed groups"
1065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Paramilitary groups"
1074,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
1075,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
1077,0,0,0,1,1,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
1078,0,0,0,1,1,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
1080,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
1082,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Other armed groups"
1089,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Guerrilla groups"
1090,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Guerrilla groups"
1091,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Guerrilla groups"
1095,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
1100,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
1114,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Other armed groups"
1115,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Other armed groups"
1123,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
1130,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
1131,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
1135,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
1140,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Guerrilla groups"
1141,0,0,1,0,0,1,0,0,0,0,0,0,0,1,"Paramilitary groups"
1146,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Guerrilla groups"
1147,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Guerrilla groups"
1148,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"Guerrilla groups"
1149,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"Guerrilla groups"
1155,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
1156,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
1157,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
1158,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
1163,0,0,0,0,1,0,0,1,1,0,1,0,0,0,"Other armed groups"
1164,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
1165,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"Other armed groups"
1170,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Other armed groups"
1171,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
1174,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Guerrilla groups"
1188,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
1200,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
1202,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Other armed groups"
1209,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Other armed groups"
1210,0,0,1,0,0,0,0,0,0,1,0,0,1,1,"Other armed groups"
1233,0,0,0,0,1,0,0,0,1,0,1,0,0,0,"Guerrilla groups"
1234,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Guerrilla groups"
1235,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Guerrilla groups"
1236,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Guerrilla groups"
1237,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Guerrilla groups"
1238,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Guerrilla groups"
1241,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
1242,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
1243,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
1260,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
1288,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
1289,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
1291,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
1296,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
1297,0,1,1,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
1301,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"Paramilitary groups"
1319,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
1320,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
1321,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
